name,description
#Resist: Davis,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Elk Grove,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Fair Oaks,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Folsom,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Roseville/GB,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO <br> - Join this group now <br> - Schedule one of our Meetup ideas in your neighborhood <br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES <br> - Be Peaceful <br> - Be Safe <br> - Be Kind <br> - Be Respectful <br> - Be Real</p>
<p><br></p>
<p>Contact:</p>
<p>Organizer:&nbsp;</p>
<p>Roza Calderon&nbsp;</p>
<p>roza@rozacalderon.com</p>
<p><a href=""https://twitter.com/IndivisibleGB"">https://twitter.com/IndivisibleGB</a><br></p>
<p>WELCOME TO THE RESISTANCE!</p>
<p><br></p>"
#Resist: Rancho Cordova,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Rocklin,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Vacaville,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: West Sacramento,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Grass Valley,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
RTS Sexual Violence Prevention and Survivor Support,"<p>Rape Trauma Services of San Mateo County strives to eliminate all forms of violence, with a special focus on sexual assault and abuse. Informed by our understanding of traumatic experiences and cycles of violence, we facilitate healing and the prevention of violence through the provision of counseling, advocacy, and education. We promote and adopt policies, practices, and the social values rooted in fairness, equity and inclusiveness. <br>Learn more about us at www.rapetraumaservices.org</p>
<p>We invite anyone in the community interested in learning, sharing and/or taking an active role in preventing sexual violence and supporting people who have been affected by sexual violence to join our group.</p>"
The Pink Hat Resistance,"<p>The Pink Hat Resistance is a Women's March inspired women's political action and empowerment group. We have monthly meetings on the third Monday of every month at 6:00 PM on the Stanford campus. Currently composed of women in the Stanford staff community, I'd like to open membership up to other women in the community. <br>For those who cannot attend the meetings, you can still sign up for our weekly newsletter and participate on group projects. Our newsletter has updates on club activities, summaries of the meetings, the meeting packets (with lots of great info and tips), info on Bay area protests and rallies, links to fascinating news &amp; opinion articles I recommend, and some good new items to celebrate! <br>We also have a secret Facebook group where we post relevant articles for discussion. <br>You can check out our website at: www.thepinkhatresistance.com</p>"
"About Face, Sac; Prev: Iraq Vets Againts The War & Ruckus","<p>New Active Social Peaceful Protest Group of Like Minds, Sacramento Action Activist Group of Veterans &amp; Civilians Againts the Military/Industrial Complex; Against Trump, Against GOP Extremist, Against White Supremacists, Against Russia Influence, and Against Corporate Government Control &amp; Greed, Against Racial, Religion, Gender, &amp; LGBTIQ Discrimination.</p> 
<p>In support of Equal Human Rights (racial, LGBTIQ: all genders, orientation, identity, non gender binary, and marriage equality), Affordable Medical Coverage for all, Free Education, Global Warming is Real, supporting groups such as Love is Love, BLM Sac, Sac Democrats, Ruckus Society, Iraq Vets Against the War, &amp; Together We Rise Sac! We support peaceful marches and demonstrations, with the goal of deconstructing the giant Pharmaceutical, and War Industrial Corporate Complex!</p>"
Art and Activism Santa Rosa,"<p>Are you an artist? writer? performer? Have you ever felt frustrated? Felt that you have no voice and few people in your current community who share your values?<br>This Meet-up is for all creatives, thinkers, performers, and makers who concerned with social equality, feminism, politics, and equal rights. <br>Totally open to anyone who wishes to have informed, provocative, inspiring monthly discussions on whats to come, the challenges we face, and how to communicate our solutions artistically. <br>Particularly interested in any makers who would like to collaborate on a public group exhibition/event in fall 2018.</p>"
Women's March Sacramento,"<p>We welcome women and their allies to build a strong community in the greater Sacramento region who stand for gender equity, social justice and equal rights for all.</p> 
<p>This meet up will focus on further engagement with the community and activities in the lead-up to the march, including discussion, sign-making parties, flyer posting parties and fundraising activities.</p> 
<p>In 2017 we marched and made our voices heard. This year we expand our work to engage youth, uplift women leaders, advocate for gender equity and stand together against voter suppression and for fair protection of all human rights.</p> 
<p>Visit Women's March Sacramento Website for more event details<br><a href=""https://womensmarchsac.com/"" class=""linkified"">https://womensmarchsac.com/</a></p>"
Financial Feminists,"<p>We are a group of activists who convene regularly to inspire one another, share information, and strategically address gender-based inequality in the financial (banking, lending, investment, insurance, etc.) industry.</p>"
